symbol,pattern,dir,entry_time,entry_price,exit_time,exit_price,lot,pnl_pt,pnl_money,reason,duration_d
EURUSD,4,BUY,2020.10.12 00:05,1.18178,2020.10.20 17:18,1.18328,1.28,150.0,156.16,tp 1.18328,8.7
EURUSD,1,BUY,2020.11.06 00:00,1.18278,2020.11.06 01:49,1.18432,1.38,154.0,179.44,tp 1.18428,0.1
EURUSD,4,BUY,2020.11.06 00:00,1.18278,2020.11.06 01:49,1.18432,1.38,154.0,179.44,tp 1.18428,0.1
EURUSD,5,BUY,2020.11.06 00:00,1.18278,2020.11.06 01:49,1.18432,1.38,154.0,179.44,tp 1.18428,0.1
EURUSD,5,BUY,2020.12.29 00:00,1.22174,2020.12.29 02:34,1.22324,0.95,150.0,116.49,tp 1.22324,0.1
EURUSD,5,BUY,2021.01.05 00:00,1.22468,2021.01.05 03:16,1.22620,0.97,152.0,120.24,tp 1.22618,0.1
EURUSD,5,BUY,2021.01.22 00:00,1.21594,2021.01.22 02:14,1.21744,1.18,150.0,145.39,tp 1.21744,0.1
EURUSD,1,BUY,2021.02.08 00:02,1.20454,2021.02.08 16:41,1.20605,1.53,151.0,191.56,tp 1.20604,0.7
EURUSD,4,BUY,2021.02.10 00:00,1.21179,2021.02.10 09:32,1.21330,1.35,151.0,168.01,tp 1.21329,0.4
EURUSD,5,BUY,2021.02.10 00:00,1.21179,2021.02.10 09:32,1.21330,1.35,151.0,168.01,tp 1.21329,0.4
EURUSD,4,BUY,2021.02.22 00:03,1.21187,2021.02.22 03:19,1.21337,1.46,150.0,180.49,tp 1.21337,0.1
EURUSD,5,BUY,2021.02.22 00:03,1.21187,2021.02.22 03:19,1.21337,1.46,150.0,180.49,tp 1.21337,0.1
EURUSD,1,BUY,2021.03.03 00:00,1.20907,2021.03.03 09:41,1.21058,1.65,151.0,205.81,tp 1.21057,0.4
EURUSD,5,BUY,2021.03.18 00:00,1.19807,2021.04.19 10:48,1.19958,2.30,151.0,248.77,tp 1.19957,32.5
EURUSD,5,BUY,2021.03.12 00:00,1.19862,2021.04.19 10:48,1.20012,2.21,150.0,229.31,tp 1.20012,38.5
EURUSD,1,BUY,2021.04.26 00:05,1.20928,2021.04.26 04:03,1.21078,2.28,150.0,282.46,tp 1.21078,0.2
EURUSD,1,BUY,2021.05.04 00:00,1.20640,2021.05.07 10:14,1.20791,2.75,151.0,335.77,tp 1.20790,3.4
EURUSD,1,BUY,2021.05.07 00:00,1.20651,2021.05.07 10:14,1.20802,2.86,151.0,357.49,tp 1.20801,0.4
EURUSD,4,BUY,2021.05.07 00:00,1.20651,2021.05.07 10:14,1.20802,2.86,151.0,357.49,tp 1.20801,0.4
EURUSD,5,BUY,2021.05.17 00:02,1.21477,2021.05.17 13:12,1.21627,2.47,150.0,304.62,tp 1.21627,0.5
EURUSD,5,BUY,2021.06.01 00:00,1.22282,2021.06.01 17:00,1.22433,2.31,151.0,284.90,tp 1.22432,0.7
EURUSD,4,BUY,2021.06.08 00:00,1.21901,2021.06.09 16:13,1.22051,2.76,150.0,337.61,tp 1.22051,1.7
EURUSD,2,SELL,2021.06.21 00:02,1.18550,2021.07.01 08:17,1.18429,4.96,121.0,456.78,tp 1.18430,10.3
EURUSD,3,SELL,2021.07.07 00:00,1.18235,2021.07.07 16:09,1.18115,5.00,120.0,507.98,tp 1.18115,0.7
EURUSD,3,SELL,2021.07.14 00:00,1.17761,2021.07.19 15:15,1.17641,5.00,120.0,488.89,tp 1.17641,5.6
EURUSD,3,SELL,2021.08.04 00:00,1.18631,2021.08.04 11:27,1.18511,5.00,120.0,506.28,tp 1.18511,0.5
EURUSD,0,SELL,2021.08.09 00:05,1.17568,2021.08.09 18:01,1.17418,4.30,150.0,549.32,tp 1.17418,0.7
EURUSD,3,SELL,2021.08.18 00:00,1.17088,2021.08.18 18:26,1.16968,3.49,120.0,358.05,tp 1.16968,0.8
EURUSD,3,SELL,2021.08.27 00:00,1.17514,2021.08.27 16:11,1.17391,4.28,123.0,448.45,tp 1.17394,0.7
EURUSD,3,SELL,2021.09.08 00:00,1.18356,2021.09.08 11:20,1.18236,5.00,120.0,507.46,tp 1.18236,0.5
EURUSD,0,SELL,2021.09.17 00:00,1.17675,2021.09.17 16:52,1.17525,4.81,150.0,613.91,tp 1.17525,0.7
EURUSD,3,SELL,2021.09.28 00:00,1.16940,2021.09.28 09:26,1.16820,3.46,120.0,355.42,tp 1.16820,0.4
EURUSD,3,SELL,2021.10.07 00:00,1.15538,2021.10.08 08:59,1.15418,2.26,120.0,233.01,tp 1.15418,1.4
EURUSD,3,SELL,2021.10.12 00:00,1.15522,2021.10.12 15:35,1.15399,2.25,123.0,239.82,tp 1.15402,0.6
EURUSD,3,SELL,2021.10.22 00:00,1.16197,2021.10.25 14:41,1.16077,2.77,120.0,283.98,tp 1.16077,3.6
EURUSD,3,SELL,2021.10.26 00:00,1.16076,2021.10.26 10:28,1.15956,2.71,120.0,280.45,tp 1.15956,0.4
EURUSD,0,SELL,2021.10.27 00:00,1.15955,2021.10.29 17:52,1.15805,2.63,150.0,331.61,tp 1.15805,2.7
EURUSD,3,SELL,2021.11.01 00:00,1.15626,2021.11.01 05:57,1.15506,2.41,120.0,250.38,tp 1.15506,0.2
EURUSD,0,SELL,2021.11.01 00:00,1.15626,2021.11.01 06:22,1.15475,2.41,151.0,315.14,tp 1.15476,0.3
EURUSD,0,SELL,2021.11.03 00:00,1.15770,2021.11.04 10:04,1.15619,2.53,151.0,323.89,tp 1.15620,1.4
EURUSD,3,SELL,2021.11.05 00:00,1.15537,2021.11.05 04:50,1.15417,2.39,120.0,248.49,tp 1.15417,0.2
EURUSD,0,SELL,2021.11.05 00:00,1.15537,2021.11.05 12:03,1.15387,2.39,150.0,310.69,tp 1.15387,0.5
EURUSD,3,SELL,2021.11.11 00:00,1.14774,2021.11.11 05:03,1.14654,2.03,120.0,212.47,tp 1.14654,0.2
EURUSD,3,SELL,2021.11.22 00:03,1.12884,2021.11.22 01:19,1.12764,1.45,120.0,154.30,tp 1.12764,0.1
EURUSD,3,SELL,2021.12.03 00:00,1.12996,2021.12.03 08:51,1.12874,1.52,122.0,164.29,tp 1.12876,0.4
EURUSD,3,SELL,2021.12.10 00:00,1.12919,2021.12.10 12:13,1.12798,1.54,121.0,165.20,tp 1.12799,0.5
EURUSD,0,SELL,2021.12.10 00:00,1.12919,2021.12.10 12:27,1.12769,1.54,150.0,204.84,tp 1.12769,0.5
EURUSD,3,SELL,2021.12.14 00:00,1.12807,2021.12.14 10:03,1.12687,1.54,120.0,163.99,tp 1.12687,0.4
EURUSD,0,SELL,2021.12.14 00:00,1.12807,2021.12.14 20:43,1.12657,1.54,150.0,205.05,tp 1.12657,0.9
EURUSD,3,SELL,2021.12.29 00:00,1.13079,2021.12.29 10:02,1.12959,1.69,120.0,179.53,tp 1.12959,0.4
EURUSD,3,SELL,2021.12.31 00:00,1.13244,2021.12.31 07:58,1.13124,1.77,120.0,187.76,tp 1.13124,0.3
EURUSD,3,SELL,2022.01.04 00:00,1.12961,2022.01.04 09:34,1.12841,1.71,120.0,181.85,tp 1.12841,0.4
EURUSD,0,SELL,2022.01.04 00:00,1.12961,2022.01.04 13:26,1.12810,1.72,151.0,230.23,tp 1.12811,0.6
EURUSD,3,SELL,2022.01.17 00:02,1.14117,2022.01.17 14:57,1.13997,2.23,120.0,234.74,tp 1.13997,0.6
EURUSD,0,SELL,2022.01.19 00:00,1.13249,2022.01.20 22:39,1.13099,1.94,150.0,252.17,tp 1.13099,1.9
EURUSD,3,SELL,2022.01.25 00:00,1.13226,2022.01.25 04:47,1.13105,1.99,121.0,212.89,tp 1.13106,0.2
EURUSD,0,SELL,2022.01.07 00:00,1.12960,2022.01.25 12:48,1.12809,1.76,151.0,210.84,tp 1.12810,18.5
EURUSD,3,SELL,2021.12.20 00:02,1.12356,2022.01.27 05:26,1.12233,1.47,123.0,109.23,tp 1.12236,38.2
EURUSD,0,SELL,2021.12.20 00:02,1.12356,2022.01.27 06:47,1.12205,1.47,151.0,145.96,tp 1.12206,38.3
EURUSD,3,SELL,2022.02.09 00:00,1.14127,2022.02.10 15:38,1.14006,2.86,121.0,296.04,tp 1.14007,1.7
