datetime,open,high,low,close,median,MA365,MA182,MA121,MA30,MA14,MA7,MA3,dMed%,d365%,d182%,d121%,d30%,d14%,d7%,d3%,a365,a182,a121,a30,a14,a7,a3,aMed,fastAvg,slowAvg,spread,spreadVel,orderScore,s14_30,s7_30,longBelow,longAbove,cluster%,vel%,acc%,vol%,cluPct,velPct,accPct,volPct,crossMA365,crossMA182,crossMA121,crossMA30,crossMA14,crossMA7,crossMA3,crossMed,MA3_7,MA7_14,MA14_30,MA30_121,MA121_182,MA182_365
2018.12.11 00:00,1.25550,1.26384,1.24800,1.24880,1.27794,1.33883,1.30039,1.29356,1.27794,1.27098,1.26597,1.25939,-2.2801,-6.7245,-3.9675,-3.4601,-2.2801,-1.7455,-1.3561,-0.8406,0,0,0,0,0,0,0,0,1.26545,1.31093,-0.045480,-0.005204,-6,0,0,0,1,1.5252,-0.5547,-0.2234,0.0655,0.683,0.865,0.758,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.12.12 00:00,1.24820,1.26712,1.24770,1.26256,1.27692,1.33856,1.29982,1.29340,1.27692,1.26900,1.26382,1.25578,-1.1245,-5.6779,-2.8663,-2.3842,-1.1245,-0.5079,-0.1000,0.5396,0,0,0,0,0,0,1,0,1.26287,1.31059,-0.047721,-0.002241,-6,0,0,0,1,1.6017,-0.6752,-0.2709,0.0663,0.750,0.905,0.790,0.841,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018.12.13 00:00,1.26250,1.26867,1.26059,1.26579,1.27551,1.33827,1.29935,1.29333,1.27551,1.26774,1.26130,1.25905,-0.7620,-5.4159,-2.5831,-2.1291,-0.7620,-0.1541,0.3558,0.5353,0,0,0,0,0,1,1,0,1.26270,1.31032,-0.047618,0.000103,-6,0,0,0,1,1.6000,-0.6769,-0.2630,0.0657,0.746,0.905,0.782,0.829,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018.12.14 00:00,1.26594,1.26630,1.25298,1.25852,1.27367,1.33794,1.29882,1.29320,1.27367,1.26606,1.25833,1.26229,-1.1896,-5.9362,-3.1027,-2.6815,-1.1896,-0.5955,0.0149,-0.2987,0,0,0,0,0,1,0,0,1.26223,1.30999,-0.047759,-0.000141,-4,0,0,0,1,1.6070,-0.6817,-0.1322,0.0636,0.750,0.909,0.651,0.798,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
2018.12.17 00:00,1.25998,1.26468,1.25658,1.26143,1.27296,1.33767,1.29833,1.29309,1.27296,1.26497,1.25942,1.26191,-0.9058,-5.6995,-2.8423,-2.4481,-0.9058,-0.2795,0.1596,-0.0383,0,0,0,0,0,1,0,0,1.26210,1.30970,-0.047596,0.000163,-4,0,0,0,1,1.6024,-0.5607,-0.0057,0.0601,0.746,0.853,0.091,0.746,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018.12.18 00:00,1.26103,1.27058,1.26099,1.26400,1.27212,1.33738,1.29792,1.29296,1.27212,1.26421,1.26246,1.26132,-0.6384,-5.4871,-2.6136,-2.2397,-0.6384,-0.0169,0.1220,0.2127,0,0,0,0,0,1,1,0,1.26266,1.30942,-0.046758,0.000839,-6,0,0,0,1,1.5753,-0.1901,0.0478,0.0581,0.718,0.306,0.417,0.718,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018.12.19 00:00,1.26359,1.26792,1.26064,1.26107,1.27103,1.33708,1.29749,1.29275,1.27103,1.26299,1.26216,1.26217,-0.7834,-5.6851,-2.8070,-2.4503,-0.7834,-0.1523,-0.0865,-0.0869,0,0,0,0,0,0,0,0,1.26244,1.30911,-0.046667,0.000091,-4,0,0,0,1,1.5735,-0.1315,0.2047,0.0464,0.714,0.206,0.730,0.452,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0
2018.12.20 00:00,1.26095,1.27072,1.26074,1.26587,1.27045,1.33681,1.29704,1.29246,1.27045,1.26174,1.26218,1.26365,-0.3603,-5.3065,-2.4033,-2.0576,-0.3603,0.3273,0.2925,0.1759,0,0,0,0,1,1,1,0,1.26252,1.30877,-0.046250,0.000417,-2,0,0,0,1,1.5602,-0.1092,0.2322,0.0405,0.706,0.190,0.758,0.365,0,0,0,0,1,1,1,0,1,1,0,0,0,0
2018.12.21 00:00,1.26526,1.26978,1.26177,1.26365,1.26981,1.33652,1.29656,1.29215,1.26981,1.26077,1.26320,1.26353,-0.4849,-5.4522,-2.5383,-2.2053,-0.4849,0.2286,0.0353,0.0095,0,0,0,0,1,1,1,0,1.26250,1.30841,-0.045908,0.000342,-2,0,0,0,1,1.5494,-0.1064,0.3645,0.0431,0.690,0.187,0.861,0.397,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2018.12.24 00:00,1.26448,1.27385,1.26347,1.26969,1.26899,1.33626,1.29611,1.29201,1.26899,1.26214,1.26486,1.26640,0.0548,-4.9821,-2.0385,-1.7275,0.0548,0.5983,0.3822,0.2595,0,0,0,1,1,1,1,1,1.26447,1.30813,-0.043663,0.002245,-2,0,0,0,1,1.4746,-0.1052,0.2508,0.0442,0.607,0.183,0.766,0.409,0,0,0,1,0,0,0,1,1,1,0,0,0,0
